RH,p,SE,LCI,UCI
3.1,0.098352742,0.068863415,0.023255421,0.33322405
3.359,0.102833931,0.070297666,0.025097595,0.337895687
3.618,0.10749494,0.071706465,0.027079791,0.342615005
3.877,0.112340758,0.073085157,0.029211733,0.347382562
4.136,0.117376307,0.074428907,0.031503677,0.352198975
4.395,0.12260638,0.075732706,0.033966392,0.357064895
4.654,0.128035703,0.076991412,0.036611204,0.3619811
4.913,0.133668808,0.078199746,0.039449941,0.366948403
5.172,0.139510097,0.079352346,0.042494962,0.371967753
5.431,0.145563773,0.080443784,0.045759121,0.377040206
5.69,0.151833767,0.081468598,0.049255712,0.382166901
5.949,0.158323806,0.082421345,0.052998483,0.387349163
6.208,0.165037262,0.083296631,0.057001517,0.392588415
6.467,0.171977224,0.084089173,0.061279227,0.397886289
6.726,0.179146422,0.084793847,0.065846249,0.403244602
6.985,0.186547131,0.085405744,0.07071731,0.408665339
7.244,0.194181266,0.085920239,0.07590719,0.414150774
7.503,0.202050197,0.086333053,0.081430483,0.419703383
7.762,0.210154843,0.086640333,0.087301534,0.425325968
8.021,0.218495586,0.086838718,0.093534219,0.431021657
8.28,0.227072171,0.086925425,0.100141682,0.436793887
8.539,0.235883821,0.086898329,0.107136225,0.442646547
8.798,0.244929033,0.086756045,0.114528911,0.448583903
9.057,0.254205703,0.086498021,0.12232941,0.454610752
9.316,0.26371104,0.086124616,0.130545641,0.460732419
9.575,0.273441463,0.085637194,0.139183387,0.466954771
9.834,0.283392756,0.085038201,0.148246095,0.473284377
10.093,0.293559852,0.084331257,0.157734351,0.479728439
10.352,0.303937,0.083521219,0.167645672,0.48629496
10.611,0.314517684,0.082614258,0.177974086,0.49299275
10.87,0.32529454,0.081617922,0.188709701,0.499831425
11.129,0.336259549,0.080541166,0.199838564,0.506821558
11.388,0.347403828,0.079394398,0.211342164,0.513974563
11.647,0.358717838,0.07818947,0.223197393,0.521302808
11.906,0.370191327,0.076939654,0.235376317,0.528819521
12.165,0.38181327,0.075659599,0.247846026,0.536538641
12.424,0.3935721,0.074365198,0.260568916,0.54447479
12.683,0.405455521,0.073073461,0.273502651,0.552642881
12.942,0.417450753,0.071802268,0.286600778,0.561057916
13.201,0.429544502,0.070570091,0.2998132,0.569734479
13.46,0.441722917,0.069395637,0.313086859,0.578686091
13.719,0.453971867,0.068297383,0.326366956,0.587924656
13.978,0.466276761,0.067293088,0.339597859,0.597459475
14.237,0.478622826,0.066399207,0.352724676,0.607296494
14.496,0.490995094,0.065630306,0.36569458,0.617437315
14.755,0.503378371,0.064998485,0.378458162,0.627878223
15.014,0.515757536,0.064512834,0.390971015,0.638609596
15.273,0.528117363,0.064179023,0.403194657,0.649615152
15.532,0.540442813,0.06399902,0.41509763,0.660871893
15.791,0.552719018,0.063970991,0.426655929,0.672350129
16.05,0.564931251,0.064089406,0.437853048,0.684013879
16.309,0.577065221,0.06434531,0.448679926,0.695821909
16.568,0.589106887,0.064726764,0.459134134,0.70772862
16.827,0.601042735,0.065219397,0.469219226,0.719685567
17.086,0.612859745,0.065807016,0.478943659,0.731642771
17.345,0.624545355,0.066472226,0.488319666,0.743550017
17.604,0.636087716,0.06719704,0.497362404,0.755358335
17.863,0.647475497,0.0679634,0.506088816,0.767020876
18.122,0.658698131,0.068753646,0.514516985,0.778494031
18.381,0.669745752,0.069550888,0.522665386,0.789738021
18.64,0.680609139,0.070339276,0.530552307,0.80071729
18.899,0.691279929,0.071104225,0.538195593,0.811400982
19.158,0.70175041,0.071832532,0.545612216,0.821762825
19.417,0.712013716,0.072512463,0.552818232,0.831781287
19.676,0.722063749,0.07313378,0.55982862,0.841439349
19.935,0.731895097,0.073687716,0.566657184,0.850724196
20.194,0.741503206,0.074166959,0.573316683,0.859627101
20.453,0.750884164,0.074565571,0.579818715,0.868142899
20.712,0.760034856,0.074878923,0.586173894,0.876269794
20.971,0.768952867,0.075103609,0.592391855,0.884008918
21.23,0.777636395,0.075237347,0.598481281,0.891363921
21.489,0.786084378,0.075278892,0.604450082,0.898340747
21.748,0.794296286,0.075227934,0.610305344,0.904947151
22.007,0.802272246,0.075085002,0.616053503,0.911192511
22.266,0.810012937,0.074851375,0.621700366,0.91708748
22.525,0.817519502,0.074528986,0.627251127,0.922643681
22.784,0.824793646,0.074120338,0.632710525,0.927873564
23.043,0.831837452,0.073628427,0.638082782,0.932790088
23.302,0.838653472,0.073056654,0.643371748,0.93740662
23.561,0.845244637,0.072408762,0.648580899,0.941736729
23.82,0.851614171,0.071688767,0.653713339,0.945794015
24.079,0.857765674,0.070900894,0.658771926,0.949592064
24.338,0.863702959,0.070049525,0.6637592,0.953144258
24.597,0.869430131,0.069139145,0.668677496,0.956463766
24.856,0.874951504,0.068174291,0.673528936,0.959563436
25.115,0.880271535,0.067159527,0.678315414,0.962455726
25.374,0.885394891,0.066099387,0.683038697,0.965152708
25.633,0.890326314,0.064998362,0.687700351,0.967665981
25.892,0.895070687,0.063860856,0.692301842,0.970006696
26.151,0.899632972,0.062691168,0.696844507,0.972185517
26.41,0.90401815,0.061493483,0.701329541,0.974212601
26.669,0.908231288,0.060271833,0.705758085,0.976097632
26.928,0.912277426,0.059030106,0.710131143,0.977849781
27.187,0.916161634,0.057772018,0.714449677,0.97947775
27.446,0.919888969,0.056501107,0.718714574,0.980989763
27.705,0.923464426,0.055220745,0.722926627,0.98239357
27.964,0.926892996,0.053934104,0.727086614,0.983696487
28.223,0.930179581,0.052644185,0.731195219,0.984905381
28.482,0.933329043,0.051353792,0.735253114,0.986026715
28.741,0.936346167,0.050065545,0.739260927,0.987066552
29,0.939235637,0.04878189,0.743219224,0.988030567
